int_id,name,abbrev,t_age,b_age,int_type,timescales,color
496,Proterozoic-Paleozoic,,251.902,2500,supereon,,#B5B5B5
497,Precambrian-Cambrian,,485.4,4000,supereon,,#D6D6D6
498,Precambrian-Paleozoic,,251.902,4000,supereon,,#EBEBEB
499,Precambrian-Phanerozoic,,0,4000,supereon,,#FFFFFF
500,Miaolingian,,497,509,epoch,international epochs--2|international intervals--11,#A6CF86
501,Series 2,,509,521,epoch,international epochs--2|international intervals--11,#99C078
502,Middle Pleistocene,,0.126,0.781,age,international ages--1|international intervals--11,#FFF2C7
503,Niagaran,,425.6,438.5,age,COSUNA--12|North American Regional--17,#BFE6CF
504,Wisconsinan,,0.05,0.15,age,,#FFF2D3
505,Begadean,,520,541,age,North American Regional--17,#8CB06C
506,Montezuman,,515.5,520,age,North American Regional--17,#A6C583
507,Dyeran,,511,515.5,age,North American Regional--17,#99C078
508,Delamaran,,506.5,511,age,North American Regional--17,#BFD99D
509,Topazan,,504.5,506.5,supereon,North American Regional--17,#B3D492
510,Marjuman,,497,504.5,age,North American Regional--17,#A6CF86
511,Steptoean,,493,497,age,North American Regional--17,#B3E095
512,Sunwaptan,,486.7,493,age,North American Regional--17,#B3E095
513,Skullrockian,,480,486.7,age,North American Regional--17,#35b083
514,Stairsian,,479.5,480,age,North American Regional--17,#33A97E
515,Arikareean,,18.6,29.8,age,North American land mammal ages--9|North American Regional--17,#FEE9B2
516,Wyattia,,521,524,zone,Trilobite Zonation - Laurentia--15,#A6BA80
517,Fritzaspis,,520,521,zone,Trilobite Zonation - Laurentia--15,#A6C583
518,Fallotaspis,,518.5,520,zone,Trilobite Zonation - Laurentia--15,#A6C583
519,Nevadella,,515.5,518.5,zone,Trilobite Zonation - Laurentia--15,#A6C583
520,Olenellus,,511.1,515.5,zone,Trilobite Zonation - Laurentia--15,#99C078
521,Eokochaspis nodosa,,510.5,511.1,zone,Trilobite Zonation - Laurentia--15,#B3CA8E
522,Amecephalus arrojosensis,,509,510.5,zone,Trilobite Zonation - Laurentia--15,#B3CA8E
523,Plagiura-Poliella,,507.3,509,zone,Trilobite Zonation - Laurentia--15,#B3D492
524,Albertella,,506.5,507.3,zone,Trilobite Zonation - Laurentia--15,#B3D492
525,Ptychagnostus praecurrens,,505.25,506.5,zone,Trilobite Zonation - Laurentia--15,#B3D492
526,Ptychagnostus gibbus,,504.5,505.25,zone,Trilobite Zonation - Laurentia--15,#B3D492
527,Bolaspidella,,499.5,504.5,zone,Trilobite Zonation - Laurentia--15,#BFD99D
528,Cedaria,,498.5,499.5,zone,Trilobite Zonation - Laurentia--15,#CCDFAA
529,Crepicephalus,,497,498.5,zone,Trilobite Zonation - Laurentia--15,#CCDFAA
530,Aphelaspis,,495.2,497,zone,Trilobite Zonation - Laurentia--15,#CCEBAE
531,Dunderbergia,,493.9,495.2,zone,Trilobite Zonation - Laurentia--15,#B3E095
532,Elvinia,,493,493.9,zone,Trilobite Zonation - Laurentia--15,#D9F0BB
533,Taenicephalus,,492.3,493,zone,Trilobite Zonation - Laurentia--15,#D9F0BB
534,Ellipsocephaloides-Idahoia,,490.9,492.3,zone,Trilobite Zonation - Laurentia--15,#D9F0BB
535,Saukiella junia/Saukiella pyrene,,487.8,490.9,zone,Trilobite Zonation - Laurentia--15,#B3E095
536,Saukiella serotina,,487.1,487.8,zone,Trilobite Zonation - Laurentia--15,#E6F5C9
537,Eurekia apopsis,,486.7,487.1,zone,Trilobite Zonation - Laurentia--15,#E6F5C9
538,Missisquoia,,486.2,486.7,zone,Trilobite Zonation - Laurentia--15,#E6F5C9
539,Symphysurina brevispicata,,485.4,486.2,zone,Trilobite Zonation - Laurentia--15,#E6F5C9
540,Symphysurina bulbosa,,484.4,485.4,zone,Trilobite Zonation - Laurentia--15,#33A97E
541,Iapetognathus fluctivagus,,484.4,485.4,zone,Conodont Zonation--16,#33A97E
542,Cordylodus angulatus,,480.3,484.4,zone,Conodont Zonation--16,#33A97E
543,Rossodus manitouensis,,480,480.3,zone,Conodont Zonation--16,#33A97E
544,Macerodus dianae,,479.8,480,zone,Conodont Zonation--16,#33A97E
545,Acodus delatus/Oneotodus costatus,,477.5,479.8,zone,Conodont Zonation--16,#1A9D6F
546,Oepikodus communis,,473.7,477.5,zone,Conodont Zonation--16,#41B087
547,Reutterodus andinus,,470.3,473.7,zone,Conodont Zonation--16,#41B087
548,Microzarkodina flabellum/Tripodus laevus,,468.7,470.3,zone,Conodont Zonation--16,#009270
549,Histiodella altifrons,,467.4,468.7,zone,Conodont Zonation--16,#66C092
550,Histiodella sinuosa,,464.4,467.4,zone,Conodont Zonation--16,#4DB47E
551,Histiodella holodentata,,463.7,464.4,zone,Conodont Zonation--16,#74C69C
552,Phragmodus polonicus,,462.4,463.7,zone,Conodont Zonation--16,#74C69C
553,Cahabagnathus friendsvillensis,,461.2,462.4,zone,Conodont Zonation--16,#74C69C
554,Cahabagnathus sweeti,,456.6,461.2,zone,Conodont Zonation--16,#009270
555,Plectodina aculeata,,455.8,456.6,zone,Conodont Zonation--16,#8CD094
556,Erismodus quadridactylus,,454.7,455.8,zone,Conodont Zonation--16,#8CD094
557,Belodina compressa,,453.7,454.7,zone,Conodont Zonation--16,#8CD094
558,Phragmodus undatus,,453,453.7,zone,Conodont Zonation--16,#8CD094
559,Plectodina tenuis,,452.3,453,zone,Conodont Zonation--16,#99D69F
560,Belodina confluens,,450,452.3,zone,Conodont Zonation--16,#99D69F
561,Oulodus velicuspis,,449.7,450,zone,Conodont Zonation--16,#99D69F
562,Oulodus robustus,,449,449.7,zone,Conodont Zonation--16,#99D69F
563,Aphelognathus grandis,,447,449,zone,Conodont Zonation--16,#99D69F
564,Aphelognathus divergens,,445.5,447,zone,Conodont Zonation--16,#99D69F
565,Aphelognathus shatzeri,,443.8,445.5,zone,Conodont Zonation--16,#7FCA93
566,Distomodus kentuckyensis,,441.1,443.8,zone,Conodont Zonation--16,#A6DCB5
567,Aspelunda expansa,,440.5,441.1,zone,Conodont Zonation--16,#99D7B3
568,Pterospathodus tenuis,,439.4,440.5,zone,Conodont Zonation--16,#B3E1C2
569,Distomodus staurognathoides,,437.5,439.4,zone,Conodont Zonation--16,#99D7B3
570,Pterospathodus eopennatus,,436.4,437.5,zone,Conodont Zonation--16,#BFE6CF
571,Pterospathodus amorphognathoides angulatus,,435.8,436.4,zone,Conodont Zonation--16,#BFE6CF
572,Pterospathodus amorphognathoides lennarti,,435.5,435.8,zone,Conodont Zonation--16,#BFE6CF
573,Pterospathodus amorphognathoides lithuanicus,,435.2,435.5,zone,Conodont Zonation--16,#BFE6CF
574,Pterospathodus amorphognathoides amorphognathoides,,433.4,435.2,zone,Conodont Zonation--16,#BFE6CF
575,Pterospathodus pennatus procerus,,432.6,433.4,zone,Conodont Zonation--16,#BFE6C3
576,Kockelella ranuliformis,,432.3,432.6,zone,Conodont Zonation--16,#BFE6C3
577,Ozarkodina sagitta rhenana,,431.8,432.3,zone,Conodont Zonation--16,#BFE6C3
578,Kockelella walliseri,,431.2,431.8,zone,Conodont Zonation--16,#BFE6C3
579,Kockelella ortus ortus,,430.5,431.2,zone,Conodont Zonation--16,#BFE6C3
580,Ozarkodina sagitta sagitta,,429.4,430.5,zone,Conodont Zonation--16,#CCEBD1
581,Ozarkodina bohemica longa,,428.3,429.4,zone,Conodont Zonation--16,#CCEBD1
582,Kockelella ortus obsidata,,427.4,428.3,zone,Conodont Zonation--16,#CCEBD1
583,Kockelella crassa,,427,427.4,zone,Conodont Zonation--16,#CCECDD
584,Kockelella variabilis variabilis,,425.6,427,zone,Conodont Zonation--16,#CCECDD
585,Ancoradella ploeckensis,,425.2,425.6,zone,Conodont Zonation--16,#D9F0DF
586,Polygnathoides siluricus,,424.8,425.2,zone,Conodont Zonation--16,#D9F0DF
587,Ozarkodina snajdri,,423.6,424.8,zone,Conodont Zonation--16,#D9F0DF
588,Ozarkodina crispa,,423,423.6,zone,Conodont Zonation--16,#D9F0DF
589,Ozarkodina eosteinhornensis,,421.2,423,zone,Conodont Zonation--16,#E6F5E1
590,Oulodus elegans detortus,,419,421.2,zone,Conodont Zonation--16,#E6F5E1
591,Caudicriodus hesperius,,417.2,419,zone,Conodont Zonation--16,#E5B75A
592,Caudicriodus postwoschmidti,,415.2,417.2,zone,Conodont Zonation--16,#E5B75A
593,Lanea omoalpha,,414.5,415.2,zone,Conodont Zonation--16,#E5B75A
594,Lanea eleanorae,,414,414.5,zone,Conodont Zonation--16,#E5B75A
595,Leanea transitans,,413.5,414,zone,Conodont Zonation--16,#E5B75A
596,Ancryodelloides trigonicus,,412.5,413.5,zone,Conodont Zonation--16,#E5B75A
597,Masaraella pandora morpho. Beta,,412,412.5,zone,Conodont Zonation--16,#E5B75A
598,Pedavis gilberti,,411,412,zone,Conodont Zonation--16,#E5B75A
599,Gondwania irregularis,,410,411,zone,Conodont Zonation--16,#E5AC4D
600,Gondwania kindlei,,408.5,410,zone,Conodont Zonation--16,#E5C468
601,Eocostapolygnathus pireneae,,407.6,408.5,zone,Conodont Zonation--16,#E5C468
602,Eocostapolygnathus kitabicus,,406,407.6,zone,Conodont Zonation--16,#E5D075
603,Eocostapolygnathus excavatus,,404.2,406,zone,Conodont Zonation--16,#E5D075
604,Eocostapolygnathus gronbergi,,403.5,404.2,zone,Conodont Zonation--16,#E5D075
605,Eocostapolygnathus nothoperbonus,,401,403.5,zone,Conodont Zonation--16,#E5D075
606,Polygnathus inversus,,397.5,401,zone,Conodont Zonation--16,#E5D075
607,Linguipolygnathus serotinus,,395,397.5,zone,Conodont Zonation--16,#E5D075
608,Polygnathus costatus patulus,,393.3,395,zone,Conodont Zonation--16,#E5D075
609,Polygnathus costatus partitus,,391.5,393.3,zone,Conodont Zonation--16,#F1D576
610,Polygnathus costatus costatus,,389.2,391.5,zone,Conodont Zonation--16,#F1D576
611,Tortodus knockelianus knockelianus,,388,389.2,zone,Conodont Zonation--16,#F1D576
612,Polygnathus ensensis,,387.7,388,zone,Conodont Zonation--16,#F1D576
613,Polygnathus hemiansatus,,387.5,387.7,zone,Conodont Zonation--16,#F1E185
614,Polygnathus varcus,,385,387.5,zone,Conodont Zonation--16,#F1E185
615,Schmidtognathus hermanni,,384,385,zone,Conodont Zonation--16,#F1E185
616,Klapperina disparilis,,383,384,zone,Conodont Zonation--16,#F1E185
617,Mesotaxis guanwushanensis,,381.2,383,zone,Conodont Zonation--16,#CB8C37
618,Palmatolepis transitans,,380.2,381.2,zone,Conodont Zonation--16,#F2EDAD
619,Palmatolepis punctata,,379,380.2,zone,Conodont Zonation--16,#F2EDAD
620,Palmatolepis hassi,,376.5,379,zone,Conodont Zonation--16,#F2EDAD
621,Palmatolepis rhenana,,373,376.5,zone,Conodont Zonation--16,#F2EDAD
622,Palmatolepis linguiformis,,372.2,373,zone,Conodont Zonation--16,#F2EDAD
623,Palmatolepis triangularis,,370,372.2,zone,Conodont Zonation--16,#F2EDC5
624,Palmatolepis crepida,,367.5,370,zone,Conodont Zonation--16,#F2EDC5
625,Palmatolepis rhomboidea,,366.5,367.5,zone,Conodont Zonation--16,#F2EDC5
626,Palmatolepis marginifera,,364,366.5,zone,Conodont Zonation--16,#F2EDC5
627,Palmatolepis rugosa trachytera,,363,364,zone,Conodont Zonation--16,#F2EDC5
628,Palmatolepis perlobata postera,,362.2,363,zone,Conodont Zonation--16,#F2EDC5
629,Palmatolepis gracilis expansa,,360,362.2,zone,Conodont Zonation--16,#F2EDC5
630,Siphonodella praesulcata,,358.9,360,zone,Conodont Zonation--16,#F2EDC5
631,Siphonodella sulcata,,358.4,358.9,zone,Conodont Zonation--16,#8CB06C
632,Siphonodella duplicata,,357.4,358.4,zone,Conodont Zonation--16,#8CB06C
633,Siphonodella sandbergi-Siphonodella belkai,,355,357.4,zone,Conodont Zonation--16,#8CB06C
634,Siphonodella quadruplicata-Patrognathus andersoni,,353,355,zone,Conodont Zonation--16,#8CB06C
635,Gnathodus typicus-Siphonodella isosticha,,349,353,zone,Conodont Zonation--16,#8CB06C
636,Dollimae bouckaerti,,348,349,zone,Conodont Zonation--16,#8CB06C
637,Gnathodus semiglaber-Polygnathus communis,,346.7,348,zone,Conodont Zonation--16,#8CB06C
638,Gnathodus pseudosemiglaber-Scallioganthus anchoralis,,344,346.7,zone,Conodont Zonation--16,#A6B96C
639,Gnathodus texanus,,340,344,zone,Conodont Zonation--16,#A6B96C
640,Gnathodus praebillineatus,,336.8,340,zone,Conodont Zonation--16,#A6B96C
641,Gnathodus bilineatus,,335,336.8,zone,Conodont Zonation--16,#A6B96C
642,Lochriea mononodosa,,332,335,zone,Conodont Zonation--16,#A6B96C
643,Lochriea nodosa,,330.9,332,zone,Conodont Zonation--16,#A6B96C
644,Lochriea ziegleri,,329.5,330.9,zone,Conodont Zonation--16,#BFC26B
645,Lochriea cruciformis,,327.2,329.5,zone,Conodont Zonation--16,#BFC26B
646,Gnathodus bollandensis,,325.5,327.2,zone,Conodont Zonation--16,#BFC26B
647,Gnathodus postbilineatus,,323.2,325.5,zone,Conodont Zonation--16,#BFC26B
648,Declinognathodus noduliferus,,322.5,323.2,zone,Conodont Zonation--16,#99C2B5
649,Idiognathoides sinuatus,,320.8,322.5,zone,Conodont Zonation--16,#99C2B5
650,Neognathodus askynensis,,320,320.8,zone,Conodont Zonation--16,#99C2B5
651,Idiognathodus sinuosus,,318.6,320,zone,Conodont Zonation--16,#99C2B5
652,Declinognathodus marginodosus,,317,318.6,zone,Conodont Zonation--16,#99C2B5
653,Neognathodus atokaensis,,315.2,317,zone,Conodont Zonation--16,#99C2B5
654,Declinognathodus donetzianus,,314.5,315.2,zone,Conodont Zonation--16,#C7CBB9
655,Neognathodus uralicus,,312.5,314.5,zone,Conodont Zonation--16,#C7CBB9
656,Streptognathodus dissectus,,310.8,312.5,zone,Conodont Zonation--16,#C7CBB9
657,Neoghanthodus medexultimus-Streptognathodus-concinnus,,309,310.8,zone,Conodont Zonation--16,#C7CBB9
658,Neoghanthodus round-Streptognathodus cancellosus,,307,309,zone,Conodont Zonation--16,#C7CBB9
659,Streptognathodus subexcelsus,,305.7,307,zone,Conodont Zonation--16,#BFD0C5
660,Idiognathodus sagittalis,,305.2,305.7,zone,Conodont Zonation--16,#BFD0C5
661,Streptognathodus cancellosus,,304.5,305.2,zone,Conodont Zonation--16,#BFD0C5
662,Idiognathodus toretzianus,,304,304.5,zone,Conodont Zonation--16,#BFD0C5
663,Streptognathodus firmus,,303.7,304,zone,Conodont Zonation--16,#BFD0C5
664,Streptognathodus simulator,,302.7,303.7,zone,Conodont Zonation--16,#CCD4C7
665,Streptognathodus vitali,,302,302.7,zone,Conodont Zonation--16,#CCD4C7
666,Streptognathodus virgilicus,,301,302,zone,Conodont Zonation--16,#CCD4C7
667,Streptognathodus simplex-Streptognathodus bellus,,300,301,zone,Conodont Zonation--16,#CCD4C7
668,Streptognathodus wabaunsensis,,298.9,300,zone,Conodont Zonation--16,#CCD4C7
669,Streptognathodus isolatus,,298,298.9,zone,Conodont Zonation--16,#E36350
670,Streptognathodus sigmoidalis-Streptognathodus cristellaris,,297.5,298,zone,Conodont Zonation--16,#E36350
671,Streptognathodus constrictus-Mesogondolella belladontae,,297,297.5,zone,Conodont Zonation--16,#E36350
672,Streptognathodus fusus,,296.5,297,zone,Conodont Zonation--16,#E36350
673,Streptognathodus postfusus,,295,296.5,zone,Conodont Zonation--16,#E36350
674,Sweetognathus merrilli-Mesogondolella uralensis,,294.1,295,zone,Conodont Zonation--16,#E36F5C
675,Sweetognathus binodosus,,293.5,294.1,zone,Conodont Zonation--16,#E36F5C
676,Sweetognathus anceps-Mesogondolella bisselli,,290.1,293.5,zone,Conodont Zonation--16,#E36F5C
677,Sweetognathus whitei,,285,290.1,zone,Conodont Zonation--16,#E37B68
678,Sweetognathus clarki,,282,285,zone,Conodont Zonation--16,#E37B68
679,Neostreptognathodus pequopensis,,283.5,282,zone,Conodont Zonation--16,#E37B68
680,Neostreptognathodus pnevi,,275.5,283.5,zone,Conodont Zonation--16,#E38776
681,Neostreptognathodus prayi,,274.7,275.5,zone,Conodont Zonation--16,#E38776
682,Sweetognathus guizhouensis,,273.7,274.7,zone,Conodont Zonation--16,#E38776
683,Mesogondolella lamberti-Neostreptognathodus sulcoplicatus,,272.95,273.7,zone,Conodont Zonation--16,#E38776
684,Jinogondolella nankingensis,,268.8,272.95,zone,Conodont Zonation--16,#FB8069
685,Jinogondolella aserrata,,265.1,268.8,zone,Conodont Zonation--16,#FB8D76
686,Jinogondolella postserrata,,264.5,265.1,zone,Conodont Zonation--16,#FB9A85
687,Jinogondolella shannoni,,264,264.5,zone,Conodont Zonation--16,#FB9A85
688,Jinogondolella altudaensis,,263.7,264,zone,Conodont Zonation--16,#FB9A85
689,Jinogondolella prexuanhanensis,,261.8,263.7,zone,Conodont Zonation--16,#FB9A85
690,Jinogondolella granti,,260.3,261.8,zone,Conodont Zonation--16,#FB9A85
691,Clarkina postitteri hongshuiensis,,259.1,260.3,zone,Conodont Zonation--16,#FB9A85
692,Clarkina postitteri postitteri,,259,259.1,zone,Conodont Zonation--16,#FCB4A2
693,Clarkina dukouensis,,258.5,259,zone,Conodont Zonation--16,#FCB4A2
694,Clarkina asymmetrica,,257.7,258.5,zone,Conodont Zonation--16,#FCB4A2
695,Clarkina leveni,,257.2,257.7,zone,Conodont Zonation--16,#FCB4A2
696,Clarkina guangyuanensis,,256.5,257.2,zone,Conodont Zonation--16,#FCB4A2
697,Clarkina transcaucasica,,255.3,256.5,zone,Conodont Zonation--16,#FCB4A2
698,Clarkina orientalis,,254.5,255.3,zone,Conodont Zonation--16,#FCB4A2
699,Clarkina longicuspidata,,254.14,254.5,zone,Conodont Zonation--16,#FCB4A2
700,Clarkina wangi,,253.5,254.14,zone,Conodont Zonation--16,#FCC0B2
701,Clarkina subarinata,,253.1,253.5,zone,Conodont Zonation--16,#FCC0B2
702,Clarkina changxingensis,,252.8,253.1,zone,Conodont Zonation--16,#FCC0B2
703,Clarkina deflecta-Clarkina yini,,252.5,252.8,zone,Conodont Zonation--16,#FCC0B2
704,Clarkina zhejiangensis-Clarkina meishanensis,,251.902,252.5,zone,Conodont Zonation--16,#FCC0B2
705,Hindeodus parvus,,251.9,251.902,zone,Conodont Zonation--16,#A4469F
706,Isarcicella isarcica,,251.7,251.9,zone,Conodont Zonation--16,#A4469F
707,Neogondollela krystyni,,251.6,251.7,zone,Conodont Zonation--16,#983999
708,Sweetospathodus kummeli,,251.4,251.6,zone,Conodont Zonation--16,#A4469F
709,Neospathodus dieneri Morph 3,,251.2,251.4,zone,Conodont Zonation--16,#A4469F
710,Neospathodus waageni,,249.3,251.2,zone,Conodont Zonation--16,#B051A5
711,Borinella buurensis-Scythogondolella milleri,,248.4,249.3,zone,Conodont Zonation--16,#B051A5
712,Neospathodus pingdingshanensis,,248.3,248.4,zone,Conodont Zonation--16,#B051A5
713,Icriospathodus collinsoni,,247.6,248.3,zone,Conodont Zonation--16,#B051A5
714,Neospathodus triangularis,,247.4,247.6,zone,Conodont Zonation--16,#B051A5
715,Triassospathodus sosioensis,,247.3,247.4,zone,Conodont Zonation--16,#B051A5
716,Chiosella gondolelloides,,247.2,247.3,zone,Conodont Zonation--16,#B051A5
717,Chiosella timorensis,,246.7,247.2,zone,Conodont Zonation--16,#BC75B7
718,Neogondolella? regalis,,244.3,246.7,zone,Conodont Zonation--16,#BC75B7
719,Paragondolella excelsa,,241,244.3,zone,Conodont Zonation--16,#B168B1
720,Budurovignathus truempyi,,240.3,241,zone,Conodont Zonation--16,#C983BF
721,Budurovignathus hungaricus,,238,240.3,zone,Conodont Zonation--16,#C983BF
722,Paragondolella inclinata,,237,238,zone,Conodont Zonation--16,#C983BF
723,Metapolygnathus intermedius,,236.5,237,zone,Conodont Zonation--16,#C99BCB
724,Metapolygnathus tadpole,,233.5,236.5,zone,Conodont Zonation--16,#C99BCB
725,Metapolygnathus polygnathiformis,,233,233.5,zone,Conodont Zonation--16,#C99BCB
726,Metapolygnathus carpathicus,,231.4,233,zone,Conodont Zonation--16,#C99BCB
727,Metapolygnathus nodosus,,229.5,231.4,zone,Conodont Zonation--16,#C99BCB
728,Metapolygnathus primitius,,226.5,229.5,zone,Conodont Zonation--16,#BD8CC3
729,Epigondolella quadrata,,221.4,226.5,zone,Conodont Zonation--16,#D6AAD3
730,Epigondolella triangularis,,217.4,221.4,zone,Conodont Zonation--16,#D6AAD3
731,Cypriodella multidentata,,216.9,217.4,zone,Conodont Zonation--16,#D6AAD3
732,Cypriodella spiculata,,216.5,216.9,zone,Conodont Zonation--16,#D6AAD3
733,Cypriodella postera,,214.8,216.5,zone,Conodont Zonation--16,#D6AAD3
734,Cypriodella serrulata,,214,214.8,zone,Conodont Zonation--16,#D6AAD3
735,Cypriodella bidentata,,208.5,214,zone,Conodont Zonation--16,#D6AAD3
736,Cypriodella mosheri,,202.3,208.5,zone,Conodont Zonation--16,#E3B9DB
737,Norigondolella sp.,,201.9,202.3,zone,Conodont Zonation--16,#E3B9DB
738,Misikella posternstenini,,201.3,201.9,zone,Conodont Zonation--16,#E3B9DB
739,Tulean,,475,479.5,age,North American Regional--17,#1A9D6F
740,Blackhillsian,,470,475,age,North American Regional--17,#41B087
741,Mohawkian,,451,456.5,age,North American Regional--17,#7FCA93
742,Gamachian,,443.8,445.2,age,North American Regional--17,#A6DBAB
743,Ulsterian,,393.3,419.2,age,North American Regional--17,#E5AC4D
744,Erian,,385,393.3,age,North American Regional--17,#F1C868
745,Chatauquan,,358.9,370,age,North American Regional--17,#F2EDC5
746,Julian,,230.5,237,sub-age,North American Regional--17,#C99BCB
747,Tuvalian,,227,230.5,sub-age,North American Regional--17,#C99BCB
748,Lacian,,216,227,sub-age,North American Regional--17,#D6AAD3
749,Alaunian,,214,216,sub-age,North American Regional--17,#D6AAD3
750,Sevatian,,208.5,214,sub-age,North American Regional--17,#D6AAD3
751,lower Otoceras boreale,,251.902,252.4,zone,Ammonite Zonation - Boreal--18,#FCC0B2
752,upper Otoceras boreale,,251.9,251.902,zone,Ammonite Zonation - Boreal--18,#A4469F
753,Ophiceras commune,,251.8,251.9,zone,Ammonite Zonation - Boreal--18,#A4469F
754,Proptychites rosenkrantzi strigatus,,251.6,251.8,zone,Ammonite Zonation - Boreal--18,#A4469F
755,Proptychites candidus,,251.3,251.6,zone,Ammonite Zonation - Boreal--18,#A4469F
756,Vavilovites sverdrupi,,251.2,251.3,zone,Ammonite Zonation - Boreal--18,#A4469F
757,Hedenstroemia hedenstroemi,,249.3,251.2,zone,Ammonite Zonation - Boreal--18,#B051A5
758,Euflemingites romunderi,,248.55,249.3,zone,Ammonite Zonation - Boreal--18,#B051A5
759,Anawasatchites tardus,,248.5,248.55,zone,Ammonite Zonation - Boreal--18,#B051A5
760,Bajarunia eumphala,,248,248.5,zone,Ammonite Zonation - Boreal--18,#B051A5
761,Olenikites pilaticus,,247.7,248,zone,Ammonite Zonation - Boreal--18,#B051A5
762,Siberlingites mulleri,,246.5,246.8,zone,Ammonite Zonation - Boreal--18,#BC75B7
763,Lenotropites caurus,,246.3,246.5,zone,Ammonite Zonation - Boreal--18,#BC75B7
764,Anagymnotoceras varium,,244,246.3,zone,Ammonite Zonation - Boreal--18,#BC75B7
765,Eogymnotoceras deleeni,,243.5,244,zone,Ammonite Zonation - Boreal--18,#BC75B7
766,Frechites chischa,,242,243.5,zone,Ammonite Zonation - Boreal--18,#BC75B7
767,Eoprotrachyceras matutinum,,240.4,242,zone,Ammonite Zonation - Boreal--18,#C983BF
768,Tuchodiceras poseidon,,239,240.4,zone,Ammonite Zonation - Boreal--18,#C983BF
769,Meginoceras meginae,,238.3,239,zone,Ammonite Zonation - Boreal--18,#C983BF
770,Macl. maclearni,,238,238.3,zone,Ammonite Zonation - Boreal--18,#C983BF
771,Frankites sutherlandi,,237,238,zone,Ammonite Zonation - Boreal--18,#C983BF
772,Daxatina canadensis,,236.3,237,zone,Ammonite Zonation - Boreal--18,#C99BCB
773,Tachyceras desatoyense,,234.6,236.3,zone,Ammonite Zonation - Boreal--18,#C99BCB
774,Austrotrachyceras obesum,,234,234.6,zone,Ammonite Zonation - Boreal--18,#C99BCB
775,Sirenites nanseni,,233.5,234,zone,Ammonite Zonation - Boreal--18,#C99BCB
776,Tropites dilleri,,232.6,233.5,zone,Ammonite Zonation - Boreal--18,#C99BCB
777,Tropites welleri,,229.7,232.6,zone,Ammonite Zonation - Boreal--18,#C99BCB
778,Klamathites macrolobatus,,227,229.7,zone,Ammonite Zonation - Boreal--18,#C99BCB
779,Stikinoceras kerri,,224.5,227,zone,Ammonite Zonation - Boreal--18,#D6AAD3
780,Malayites dawsoni,,218.3,224.5,zone,Ammonite Zonation - Boreal--18,#D6AAD3
781,Juvavites magnus,,217.5,218.3,zone,Ammonite Zonation - Boreal--18,#D6AAD3
782,Drepanites rutherfordi,,217,217.5,zone,Ammonite Zonation - Boreal--18,#D6AAD3
783,Mesohimavatites columbianus,,214,217,zone,Ammonite Zonation - Boreal--18,#D6AAD3
784,Gnomohalorites cordilleranus,,208.5,214,zone,Ammonite Zonation - Boreal--18,#D6AAD3
785,Chochloceras amoenum,,202.2,208.5,zone,Ammonite Zonation - Boreal--18,#E3B9DB
786,Choristoceras crickmayi,,201.3,202.2,zone,Ammonite Zonation - Boreal--18,#E3B9DB
787,Psiloceras planorbis,,201.1,201.3,zone,Ammonite Zonation - Boreal--18,#4EB3D3
788,Alsatites liasicus,,200.2,201.1,zone,Ammonite Zonation - Boreal--18,#4EB3D3
789,Schlotheimia angulata,,199.3,200.2,zone,Ammonite Zonation - Boreal--18,#4EB3D3
790,Arietites bucklandi,,197.8,199.3,zone,Ammonite Zonation - Boreal--18,#67BCD8
791,Arnioceras semicostatum,,196.4,197.8,zone,Ammonite Zonation - Boreal--18,#67BCD8
792,Caenisites turneri,,195.4,196.4,zone,Ammonite Zonation - Boreal--18,#67BCD8
793,Asteroceras obtusum,,193.8,195.4,zone,Ammonite Zonation - Boreal--18,#67BCD8
794,Oxynoticeras oxynotum,,192.8,193.8,zone,Ammonite Zonation - Boreal--18,#67BCD8
795,Echinoceras raricostatum,,190.8,192.8,zone,Ammonite Zonation - Boreal--18,#67BCD8
796,Uptonia jamesoni,,189.5,190.8,zone,Ammonite Zonation - Boreal--18,#80C5DD
797,Tragophylloceras ibex,,188.5,189.5,zone,Ammonite Zonation - Boreal--18,#80C5DD
798,Prodactylioceras davoei,,187.5,188.5,zone,Ammonite Zonation - Boreal--18,#80C5DD
799,Amaltheus margaritatus,,184.2,187.5,zone,Ammonite Zonation - Boreal--18,#80C5DD
800,Pleuroceras spinatum,,182.7,184.2,zone,Ammonite Zonation - Boreal--18,#80C5DD
801,Dactylioceras tenuicostatum,,180.7,182.7,zone,Ammonite Zonation - Boreal--18,#99CEE3
802,Harpoceras falciferum,,180.4,180.7,zone,Ammonite Zonation - Boreal--18,#99CEE3
803,Hildoceras bifrons,,178.4,180.4,zone,Ammonite Zonation - Boreal--18,#99CEE3
804,Haugia variabilis,,176.4,178.4,zone,Ammonite Zonation - Boreal--18,#99CEE3
805,Grammoceras thouarsense,,175,176.4,zone,Ammonite Zonation - Boreal--18,#99CEE3
806,Dumortieria levesquei,,174.4,175,zone,Ammonite Zonation - Boreal--18,#99CEE3
807,Pleydellia aalensis,,174.1,174.4,zone,Ammonite Zonation - Boreal--18,#9AD9DD
808,Leioceras opalinum,,172.2,174.1,zone,Ammonite Zonation - Boreal--18,#9AD9DD
809,Ludwigia murchisonae,,171.3,172.2,zone,Ammonite Zonation - Boreal--18,#9AD9DD
810,Brasilia bradfordensis,,170.9,171.3,zone,Ammonite Zonation - Boreal--18,#9AD9DD
